Aug 28 14:25:51.029 DEBG begin change check, db_mod: 0, folder_mod: 1629355793
Aug 28 14:25:51.294 DEBG added or changed, sha1: 06b0bcaa, mtime: 1629355774, fname: 積む_g.mp3
Aug 28 14:25:51.321 DEBG added or changed, sha1: 30917418, mtime: 1629355781, fname: 一翼_g.mp3
Aug 28 14:25:51.323 DEBG fetching meta...
Aug 28 14:25:51.344 DEBG added or changed, sha1: 95f10064, mtime: 1629355769, fname: 受領書_b.mp3
Aug 28 14:25:51.370 DEBG added or changed, sha1: 69adc9f6, mtime: 1629355762, fname: 一気_g.mp3
Aug 28 14:25:51.382 DEBG added or changed, sha1: 32553b5c, mtime: 1629355772, fname: 担う_g.mp3
Aug 28 14:25:51.393 DEBG added or changed, sha1: 6e9e853b, mtime: 1629355778, fname: 執る_g.mp3
Aug 28 14:25:51.405 DEBG added or changed, sha1: 09488937, mtime: 1629355763, fname: 地中_g.mp3
Aug 28 14:25:51.428 DEBG added or changed, sha1: f0b7d809, mtime: 1629355768, fname: 権利_g.mp3
Aug 28 14:25:51.432 DEBG added or changed, sha1: a175bb8b, mtime: 1629355765, fname: 着る_g.mp3
Aug 28 14:25:51.453 DEBG added or changed, sha1: 5a7cccd2, mtime: 1629355767, fname: 荷札_b.mp3
Aug 28 14:25:51.457 DEBG added or changed, sha1: 63897e7b, mtime: 1629355789, fname: coral-small.png
Aug 28 14:25:51.483 DEBG added or changed, sha1: b38ae76e, mtime: 1629355770, fname: 保護する_b.mp3
Aug 28 14:25:51.494 DEBG added or changed, sha1: 9753da2d, mtime: 1629355780, fname: 炭_g.mp3
Aug 28 14:25:51.506 DEBG added or changed, sha1: 3c570585, mtime: 1629355765, fname: 低い_b.mp3
Aug 28 14:25:51.522 DEBG added or changed, sha1: 87fdaf8e, mtime: 1629355785, fname: 蓮根_b.mp3
Aug 28 14:25:51.527 DEBG added or changed, sha1: 92ee2bbd, mtime: 1629355785, fname: 欠陥_g.mp3
Aug 28 14:25:51.528 DEBG added or changed, sha1: e12c7248, mtime: 1629355768, fname: 分解_g.mp3
Aug 28 14:25:51.540 DEBG added or changed, sha1: 7756f0d4, mtime: 1629355784, fname: 苗字_g.mp3
Aug 28 14:25:51.550 DEBG added or changed, sha1: 9e1ae433, mtime: 1629355784, fname: 辱める_b.mp3
Aug 28 14:25:51.552 DEBG added or changed, sha1: 63bbb588, mtime: 1629355762, fname: かき氷_g.mp3
Aug 28 14:25:51.552 DEBG added or changed, sha1: cc5f09ee, mtime: 1629355762, fname: 気_g.mp3
Aug 28 14:25:51.560 DEBG added or changed, sha1: aacb7f95, mtime: 1629355774, fname: 嘆く_b.mp3
Aug 28 14:25:51.568 DEBG added or changed, sha1: 858bddd7, mtime: 1629355777, fname: 貴重品_b.mp3
Aug 28 14:25:51.581 DEBG added or changed, sha1: 9716c391, mtime: 1629355780, fname: 嘘_g.mp3
Aug 28 14:25:51.607 DEBG added or changed, sha1: afd00eef, mtime: 1629355767, fname: 五枚_g.mp3
Aug 28 14:25:51.619 DEBG added or changed, sha1: ee1f971e, mtime: 1629355768, fname: 形容詞_g.mp3
Aug 28 14:25:51.622 DEBG added or changed, sha1: 171768e4, mtime: 1629355763, fname: この前_b.mp3
Aug 28 14:25:51.623 DEBG added or changed, sha1: f68ce3ce, mtime: 1629355763, fname: 研究_g.mp3
Aug 28 14:25:51.628 DEBG added or changed, sha1: cdcc905a, mtime: 1629355768, fname: 個人_b.mp3
Aug 28 14:25:51.648 DEBG added or changed, sha1: 63c455a0, mtime: 1629355766, fname: 悪口_g.mp3
Aug 28 14:25:51.648 DEBG added or changed, sha1: e961cf1d, mtime: 1629355770, fname: 理解する_b.mp3
Aug 28 14:25:51.653 DEBG added or changed, sha1: 905bf0b9, mtime: 1629355784, fname: 概要_g.mp3
Aug 28 14:25:51.667 DEBG added or changed, sha1: ee9b5ee5, mtime: 1629355772, fname: 濃度_g.mp3
Aug 28 14:25:51.674 DEBG added or changed, sha1: 288ebe25, mtime: 1629355779, fname: 吹く_g.mp3
Aug 28 14:25:51.688 DEBG added or changed, sha1: 92647aec, mtime: 1629355774, fname: 掃除_b.mp3
Aug 28 14:25:51.688 DEBG added or changed, sha1: 0cc8a099, mtime: 1629355770, fname: 判断する_b.mp3
Aug 28 14:25:51.714 DEBG added or changed, sha1: ac774f77, mtime: 1629355788, fname: 手錠_b.mp3
Aug 28 14:25:51.729 DEBG added or changed, sha1: 1292aeea, mtime: 1629355763, fname: お姉さん_g.mp3
Aug 28 14:25:51.734 DEBG added or changed, sha1: b5c37e04, mtime: 1629355767, fname: 無茶_g.mp3
Aug 28 14:25:51.743 DEBG added or changed, sha1: 31c56bcc, mtime: 1629355770, fname: 吸血鬼_g.mp3
Aug 28 14:25:51.743 DEBG added or changed, sha1: fbfc3aa5, mtime: 1629355777, fname: 換気_g.mp3
Aug 28 14:25:51.750 DEBG added or changed, sha1: 1fe43733, mtime: 1629355763, fname: 死_g.mp3
Aug 28 14:25:51.762 DEBG added or changed, sha1: 758e6f21, mtime: 1629355762, fname: 足_g.mp3
Aug 28 14:25:51.770 DEBG added or changed, sha1: f188ec7f, mtime: 1629355771, fname: 鉛筆_b.mp3
Aug 28 14:25:51.781 DEBG added or changed, sha1: 1854f55f, mtime: 1629355787, fname: 蝶_b.mp3
Aug 28 14:25:51.788 DEBG added or changed, sha1: a748c42a, mtime: 1629355784, fname: 陰謀_g.mp3
Aug 28 14:25:51.813 DEBG added or changed, sha1: 1baeb238, mtime: 1629355783, fname: 斬新_g.mp3
Aug 28 14:25:51.826 DEBG added or changed, sha1: 0b8ba481, mtime: 1629355770, fname: 沢_g.mp3
Aug 28 14:25:51.830 DEBG added or changed, sha1: 40ade813, mtime: 1629355766, fname: 卒業_b.mp3
Aug 28 14:25:51.843 DEBG added or changed, sha1: 55e82f2f, mtime: 1629355785, fname: 埋没_b.mp3
Aug 28 14:25:51.857 DEBG added or changed, sha1: 449c2540, mtime: 1629355775, fname: 酸素_b.mp3
Aug 28 14:25:51.867 DEBG added or changed, sha1: 2fea7d2e, mtime: 1629355766, fname: 待たせる_g.mp3
Aug 28 14:25:51.880 DEBG added or changed, sha1: 83375016, mtime: 1629355779, fname: 屋敷_b.mp3
Aug 28 14:25:51.904 DEBG added or changed, sha1: 4bf4ea6b, mtime: 1629355773, fname: 電飾_b.mp3
Aug 28 14:25:51.917 DEBG added or changed, sha1: 71240cc2, mtime: 1629355770, fname: 新幹線_b.mp3
Aug 28 14:25:51.925 DEBG added or changed, sha1: 849c3ca5, mtime: 1629355772, fname: 健康_g.mp3
Aug 28 14:25:51.948 DEBG added or changed, sha1: 38de4d1b, mtime: 1629355764, fname: 中学校_g.mp3
Aug 28 14:25:51.962 DEBG added or changed, sha1: 3bbe0799, mtime: 1629355784, fname: 理不尽_g.mp3
Aug 28 14:25:51.971 DEBG added or changed, sha1: 09225825, mtime: 1629355779, fname: 衝撃_b.mp3
Aug 28 14:25:51.975 DEBG added or changed, sha1: 664599ab, mtime: 1629355778, fname: 還元_b.mp3
Aug 28 14:25:51.981 DEBG added or changed, sha1: 33d1cc18, mtime: 1629355769, fname: 消費_g.mp3
Aug 28 14:25:51.992 DEBG added or changed, sha1: 44f3f1a7, mtime: 1629355774, fname: 帯_b.mp3
Aug 28 14:25:52.005 DEBG added or changed, sha1: 79c79f2a, mtime: 1629355779, fname: 免れる_b.mp3
Aug 28 14:25:52.031 DEBG added or changed, sha1: 99b86d4d, mtime: 1629355771, fname: 絞る_b.mp3
Aug 28 14:25:52.046 DEBG added or changed, sha1: c33cd8a6, mtime: 1629355768, fname: 非常口_b.mp3
Aug 28 14:25:52.061 DEBG added or changed, sha1: fe33387f, mtime: 1629355783, fname: 伊勢_g.mp3
Aug 28 14:25:52.071 DEBG added or changed, sha1: 97222ce4, mtime: 1629355781, fname: 風潮_b.mp3
Aug 28 14:25:52.077 DEBG added or changed, sha1: 9a5b4024, mtime: 1629355784, fname: 仰々しい_g.mp3
Aug 28 14:25:52.092 DEBG added or changed, sha1: 626fda32, mtime: 1629355767, fname: イギリス人_g.mp3
Aug 28 14:25:52.108 DEBG added or changed, sha1: 7b6f0834, mtime: 1629355778, fname: 遠慮_g.mp3
Aug 28 14:25:52.119 DEBG added or changed, sha1: 5bfd02cf, mtime: 1629355767, fname: 友達_g.mp3
Aug 28 14:25:52.134 DEBG added or changed, sha1: 7c4e223d, mtime: 1629355780, fname: 早瀬_g.mp3
Aug 28 14:25:52.143 DEBG added or changed, sha1: 24306a5a, mtime: 1629355761, fname: 火_g.mp3
Aug 28 14:25:52.157 DEBG added or changed, sha1: fb449a1e, mtime: 1629355767, fname: 出席_g.mp3
Aug 28 14:25:52.164 DEBG added or changed, sha1: d18254b3, mtime: 1629355766, fname: 勇気_b.mp3
Aug 28 14:25:52.166 DEBG added or changed, sha1: 71a13eeb, mtime: 1629355768, fname: 恋人_g.mp3
Aug 28 14:25:52.174 DEBG added or changed, sha1: 8c681603, mtime: 1629355764, fname: 自転車_g.mp3
Aug 28 14:25:52.183 DEBG added or changed, sha1: b16d799d, mtime: 1629355786, fname: 新陳代謝_b.mp3
Aug 28 14:25:52.193 DEBG added or changed, sha1: 21c2346a, mtime: 1629355766, fname: 悪気_g.mp3
Aug 28 14:25:52.193 DEBG added or changed, sha1: c3de187c, mtime: 1629355779, fname: 鋭い_g.mp3
Aug 28 14:25:52.217 DEBG added or changed, sha1: 3faf1890, mtime: 1629355771, fname: 鮮魚_b.mp3
Aug 28 14:25:52.229 DEBG added or changed, sha1: b47e63c1, mtime: 1629355771, fname: 激しい_g.mp3
Aug 28 14:25:52.242 DEBG added or changed, sha1: 0af7ce44, mtime: 1629355768, fname: 原子力_b.mp3
Aug 28 14:25:52.258 DEBG added or changed, sha1: f5e9c316, mtime: 1629355786, fname: 愚痴_b.mp3
Aug 28 14:25:52.264 DEBG added or changed, sha1: 723b5035, mtime: 1629355764, fname: 化ける_g.mp3
Aug 28 14:25:52.280 DEBG added or changed, sha1: 5b456e25, mtime: 1629355773, fname: 大臣_b.mp3
Aug 28 14:25:52.288 DEBG added or changed, sha1: 91b64569, mtime: 1629355783, fname: 〜歳_g.mp3
Aug 28 14:25:52.294 DEBG added or changed, sha1: 137bd16f, mtime: 1629355764, fname: 伝記_b.mp3
Aug 28 14:25:52.299 DEBG added or changed, sha1: f0247a63, mtime: 1629355768, fname: 日曜日_g.mp3
Aug 28 14:25:52.309 DEBG added or changed, sha1: 47bf12f9, mtime: 1629355789, fname: 容赦なく_b.mp3
Aug 28 14:25:52.316 DEBG added or changed, sha1: 8dc3c75a, mtime: 1629355774, fname: 陸軍_g.mp3
Aug 28 14:25:52.331 DEBG added or changed, sha1: 5228e2d3, mtime: 1629355784, fname: 巧妙_b.mp3
Aug 28 14:25:52.333 DEBG added or changed, sha1: 7d332278, mtime: 1629355780, fname: 至上_g.mp3
Aug 28 14:25:52.349 DEBG added or changed, sha1: c8af1e10, mtime: 1629355768, fname: 座る_b.mp3
Aug 28 14:25:52.359 DEBG added or changed, sha1: fe606903, mtime: 1629355764, fname: 求人_b.mp3
Aug 28 14:25:52.373 DEBG added or changed, sha1: 9e227927, mtime: 1629355780, fname: 一泊_g.mp3
Aug 28 14:25:52.387 DEBG added or changed, sha1: eb1dc19b, mtime: 1629355761, fname: 五十_g.mp3
Aug 28 14:25:52.392 DEBG added or changed, sha1: b5dc2f9f, mtime: 1629355761, fname: 内_b.mp3
Aug 28 14:25:52.397 DEBG added or changed, sha1: 26ff70c7, mtime: 1629355785, fname: 〜貫_b.mp3
Aug 28 14:25:52.405 DEBG added or changed, sha1: fa3822fa, mtime: 1629355785, fname: 緋鯉_g.mp3
Aug 28 14:25:52.421 DEBG added or changed, sha1: 32777ec4, mtime: 1629355770, fname: 不文律_b.mp3
Aug 28 14:25:52.430 DEBG added or changed, sha1: 63458e2e, mtime: 1629355764, fname: 別_b.mp3
Aug 28 14:25:52.437 DEBG added or changed, sha1: 6c91db4e, mtime: 1629355765, fname: 〜放題_b.mp3
Aug 28 14:25:52.449 DEBG added or changed, sha1: 76c9e95f, mtime: 1629355785, fname: 制覇_b.mp3
Aug 28 14:25:52.457 DEBG added or changed, sha1: 8272b507, mtime: 1629355776, fname: 長寿_b.mp3
Aug 28 14:25:52.458 DEBG added or changed, sha1: c2afec80, mtime: 1629355785, fname: 胞子_b.mp3
Aug 28 14:25:52.468 DEBG added or changed, sha1: ace73547, mtime: 1629355770, fname: 境_g.mp3
Aug 28 14:25:52.475 DEBG added or changed, sha1: 1a8a0bac, mtime: 1629355769, fname: 経験者_b.mp3
Aug 28 14:25:52.485 DEBG added or changed, sha1: 745b7275, mtime: 1629355778, fname: 欠伸_g.mp3
Aug 28 14:25:52.498 DEBG added or changed, sha1: 8093bb22, mtime: 1629355787, fname: 鎮圧_g.mp3
